enso_index,action_WWV,action_NPMM,action_SPMM,action_IOB,action_IOD,action_SIOD,action_TNA,action_ATL3,action_SASD,state_Nino34,state_WWV,state_NPMM,state_SPMM,state_IOB,state_IOD,state_SIOD,state_TNA,state_ATL3,state_SASD
0.23530251,1.0,1.0,1.0,-1.0,-1.0,0.6036574,-1.0,-1.0,1.0,0.23530251,2.7747052,0.47980228,0.53315896,0.16257235,0.079045296,0.0006856132,0.5847131,-0.4226597,0.48912862
0.36731198,1.0,1.0,1.0,-0.853043,0.40160382,-1.0,-1.0,-1.0,1.0,0.36731198,0.7456696,0.5346982,0.5403822,0.06504222,0.14390735,0.073964424,0.47811228,-0.42256495,0.20849809
0.21292664,1.0,1.0,1.0,-1.0,-1.0,-0.27146286,-1.0,-1.0,1.0,0.21292664,1.8294293,0.57246655,0.5761454,0.1062255,0.13930878,-0.005134757,0.43453768,-0.28618142,0.06435475
0.2558019,1.0,1.0,1.0,-0.59284085,0.57733154,-1.0,-1.0,-1.0,1.0,0.2558019,0.29131752,0.62499094,0.6113137,0.074788444,0.11461073,0.039666984,0.468874,-0.39705774,0.07025193
0.13757393,1.0,1.0,1.0,-1.0,-1.0,0.17886528,-1.0,-1.0,1.0,0.13757393,2.9191515,0.74072194,0.64919436,0.10477159,0.0071497713,0.10678188,0.35241485,-0.45169166,0.2726244
0.112492904,1.0,1.0,1.0,-1.0,-1.0,-0.022893772,-1.0,-1.0,1.0,0.112492904,2.9603693,0.860982,0.6560578,0.05343158,-0.11565692,0.18555494,0.30287662,-0.4557541,0.34562248
0.21568722,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,0.21568722,4.985568,0.89241594,0.66492945,0.030165639,0.020936402,0.07997852,0.3862746,-0.70151275,0.37662762
0.32617003,1.0,1.0,1.0,-1.0,-1.0,0.84054375,-1.0,-1.0,1.0,0.32617003,4.400121,0.94953567,0.75454557,0.035455372,-0.5289697,0.11929845,0.43060014,-0.40468213,0.40100154
0.5005674,1.0,1.0,0.90009344,-1.0,-1.0,1.0,-1.0,-1.0,1.0,0.5005674,7.4597073,1.0087306,0.76656955,-0.014946501,-0.6658981,0.13765901,0.5006501,-0.42533112,0.45887604
0.6553254,1.0,1.0,0.0054783076,-1.0,-1.0,1.0,-1.0,-1.0,1.0,0.6553254,10.518365,1.0286673,0.81614834,-0.010432663,-0.51550925,0.31795052,0.40937644,-0.29433164,0.388708
0.7863892,1.0,1.0,-0.39754033,-1.0,-1.0,1.0,-1.0,-1.0,1.0,0.7863892,12.7448435,0.9559292,0.8100048,-0.07843747,-0.4569271,0.3530037,0.45295653,-0.24241783,0.45082122
0.98367035,1.0,1.0,-0.59764886,-1.0,-1.0,1.0,-1.0,-1.0,1.0,0.98367035,14.9451,0.92263615,0.5558331,-0.14126943,-0.24614067,0.2339585,0.34869444,-0.31607762,0.43381867
1.252001,1.0,1.0,-0.839169,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.252001,14.9451,0.5982702,0.24319978,-0.05656736,-0.48634285,0.27316034,0.3239916,-0.43714586,0.4815578
1.4293422,1.0,1.0,-0.65363634,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.4293422,14.9451,0.7538642,-0.09435153,0.01704182,-0.5179375,0.22113101,0.25049412,-0.51839375,0.5876484
1.3570977,1.0,1.0,-0.5984172,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.3570977,14.9451,0.87241566,-0.213939,0.08035585,-0.563045,0.2667095,0.23976843,-0.8047398,0.40361893
1.3274255,1.0,1.0,-0.2330306,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.3274255,13.330274,0.92280364,-0.1855433,0.0616307,-0.5346401,0.41380662,0.1532085,-0.8697232,0.64342666
1.4073625,1.0,1.0,-0.40082085,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.4073625,14.579578,1.0790069,-0.17260738,0.046444356,-0.41210192,0.4502824,-0.047895946,-0.9911316,0.67986727
